"RequirementId","Scope","Requirement","SourceFile","SourceLine","SourceRevision","Status","ArtifactSha256","Environment","Procedure","TerminalResult","EvidenceLocation","Limitations","SourceFileSha256","EnvironmentAmendment","OriginalRequirement","OriginalProcedure","ParentRequirementId","RowKind","PreviewDisposition","PreviewEvidence"
"T01","Windows/shared","Preserve public history and align the canonical repository without force-push.","docs/verification/v1-master-plan-audit.md","72","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","","Current remote, upstream, original/bootstrap ancestry and nondiverging PR branch verified at local c56c173 against public main b3d487e / PR30589c0. Repeat exact-ref checks before merge; this does not close the separate governance or release gates.","","[Tasks 1–10 ledger](tasks-1-10.md), [September14 remote and ancestry checks](../repository-settings.md#canonical-remote-and-preserved-history)","Historical audit status: verified; current final-source installed/hosted acceptance not established.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Preserve public history and align the canonical repository without force-push.","Current remote, upstream, original/bootstrap ancestry and nondiverging PR branch verified at local c56c173 against public main b3d487e / PR30589c0. Repeat exact-ref checks before merge; this does not close the separate governance or release gates.","","requirement","required-open","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T02","aggregate","Add Apache-2.0 licensing and public-repository governance.","docs/verification/v1-master-plan-audit.md","73","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","","Reconcile child rows independently; original requirement and historical procedure are preserved. No aggregate pass while an applicable child is open.","","[LICENSE](../../LICENSE), [notices](../../THIRD_PARTY_NOTICES.md), [security policy](../../SECURITY.md), [secret-scan exception rationale](../security/secret-scan-exceptions.md), [Tasks 1–10 ledger](tasks-1-10.md)","Historical audit status: partial; current final-source installed/hosted acceptance not established.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Add Apache-2.0 licensing and public-repository governance.","Verify GitHub license detection, push protection, branch/tag protection, fork-secret isolation, and name clearance live.","","aggregate","aggregate-reconcile-children","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T02-WS","Windows/shared","Apache-2.0 licensing and all unpaid repository governance, including the required Secret Scan compensating gate.","docs/verification/v1-master-plan-audit.md","73","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","","Execute the scoped Windows x64 and shared checks on the exact final source/candidate. Record commands or manual steps, environment, terminal results and limitations; historical results are pointers only.","","[LICENSE](../../LICENSE), [notices](../../THIRD_PARTY_NOTICES.md), [security policy](../../SECURITY.md), [secret-scan exception rationale](../security/secret-scan-exceptions.md), [Tasks 1–10 ledger](tasks-1-10.md)","Required and open. Fresh-profile physical-PC checks cannot establish clean-OS or independent-host behavior. Other scopes have separately statused sibling rows.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Add Apache-2.0 licensing and public-repository governance.","Verify GitHub license detection, push protection, branch/tag protection, fork-secret isolation, and name clearance live.","T02","execution","required-open","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T02-PAID","paid","Paid-only GitHub non-provider push-protection patterns and validity checks, where unavailable without payment.","docs/verification/v1-master-plan-audit.md","73","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","deferred","","","Deferred by explicit user payment/signing decision; no payment or public-beta publication authorized.","","[LICENSE](../../LICENSE), [notices](../../THIRD_PARTY_NOTICES.md), [security policy](../../SECURITY.md), [secret-scan exception rationale](../security/secret-scan-exceptions.md), [Tasks 1–10 ledger](tasks-1-10.md)","Not passed. Free Tauri updater signature verification, internal installation and other unpaid gates remain required.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Add Apache-2.0 licensing and public-repository governance.","Verify GitHub license detection, push protection, branch/tag protection, fork-secret isolation, and name clearance live.","T02","execution","excluded-preview","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T03","aggregate","Establish the pinned Rust/Tauri workspace and fully pinned CI.","docs/verification/v1-master-plan-audit.md","74","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","","Reconcile child rows independently; original requirement and historical procedure are preserved. No aggregate pass while an applicable child is open.","","[PR #12 stabilization ledger](pr-12-stabilization.md), [dependency-alert recovery](dependency-alerts-2026-08-10.md), [CI workflow](../../.github/workflows/ci.yml), [independent-gate contract](../../scripts/ci-gates-workflow.test.mjs), [A-004 feature-scope amendment](../protocols/contract-amendments.md), [workspace manifest](../../Cargo.toml), [Tasks 1–10 ledger](tasks-1-10.md)","Historical audit status: partial; current final-source installed/hosted acceptance not established.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Establish the pinned Rust/Tauri workspace and fully pinned CI.","Run every independent gate remotely on Windows x64 and macOS arm64, then clear all remaining public CI failures without skipped required checks.","","aggregate","aggregate-reconcile-children","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T03-WS","Windows/shared","Windows/shared unpaid portion: Establish the pinned Rust/Tauri workspace and fully pinned CI.","docs/verification/v1-master-plan-audit.md","74","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","","Execute the scoped Windows x64 and shared checks on the exact final source/candidate. Record commands or manual steps, environment, terminal results and limitations; historical results are pointers only.","","[PR #12 stabilization ledger](pr-12-stabilization.md), [dependency-alert recovery](dependency-alerts-2026-08-10.md), [CI workflow](../../.github/workflows/ci.yml), [independent-gate contract](../../scripts/ci-gates-workflow.test.mjs), [A-004 feature-scope amendment](../protocols/contract-amendments.md), [workspace manifest](../../Cargo.toml), [Tasks 1–10 ledger](tasks-1-10.md)","Required and open. Fresh-profile physical-PC checks cannot establish clean-OS or independent-host behavior. Other scopes have separately statused sibling rows.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Establish the pinned Rust/Tauri workspace and fully pinned CI.","Run every independent gate remotely on Windows x64 and macOS arm64, then clear all remaining public CI failures without skipped required checks.","T03","execution","required-open","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T03-APPLE","Apple","Apple implementation/qualification portion: Establish the pinned Rust/Tauri workspace and fully pinned CI.","docs/verification/v1-master-plan-audit.md","74","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","deferred","","","Deferred by explicit user decision; preserve existing evidence and perform no new Apple work.","","[PR #12 stabilization ledger](pr-12-stabilization.md), [dependency-alert recovery](dependency-alerts-2026-08-10.md), [CI workflow](../../.github/workflows/ci.yml), [independent-gate contract](../../scripts/ci-gates-workflow.test.mjs), [A-004 feature-scope amendment](../protocols/contract-amendments.md), [workspace manifest](../../Cargo.toml), [Tasks 1–10 ledger](tasks-1-10.md)","Explicit user Apple deferral; not passed. Shared and Windows work remains in sibling rows.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Establish the pinned Rust/Tauri workspace and fully pinned CI.","Run every independent gate remotely on Windows x64 and macOS arm64, then clear all remaining public CI failures without skipped required checks.","T03","execution","excluded-preview","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T04","aggregate","Freeze protocol v1 and the threat model.","docs/verification/v1-master-plan-audit.md","75","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","","Reconcile child rows independently; original requirement and historical procedure are preserved. No aggregate pass while an applicable child is open.","","[Protocol 1.5](../protocols/protocol-v1.md), [canonical CBOR](../protocols/cbor-v1.md), [threat model](../security/threat-model.md), [amendments](../protocols/contract-amendments.md)","Historical audit status: amended; current final-source installed/hosted acceptance not established.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Freeze protocol v1 and the threat model.","Ratify all recorded amendments together and rerun cross-platform protocol/binding fixtures.","","aggregate","aggregate-reconcile-children","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T04-WS","Windows/shared","Windows/shared unpaid portion: Freeze protocol v1 and the threat model.","docs/verification/v1-master-plan-audit.md","75","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","unknown","","Task3 source/component tests ran on this Windows 11 x64 physical-PC development workspace with isolated Cargo target and local/injected providers; no installed candidate, clean-OS profile or live hosted provider was exercised.","Execute the scoped Windows x64 and shared checks on the exact final source/candidate. Record commands or manual steps, environment, terminal results and limitations; historical results are pointers only.","Task3 component: protocol 1.16 package, generated binding comparison and schema comparison exited 0; focused desktop protocol coverage passed 42/42.","[Protocol 1.5](../protocols/protocol-v1.md), [canonical CBOR](../protocols/cbor-v1.md), [threat model](../security/threat-model.md), [amendments](../protocols/contract-amendments.md), [Task3 explicit recovery history component checkpoint](pr16-windows-shared-execution-2026-09-14.md#task3-explicit-history-final-component), [Task3 committed source identity](pr16-history-selection-source-2026-09-14.json)","Required and open. Fresh-profile physical-PC checks cannot establish clean-OS or independent-host behavior. Other scopes have separately statused sibling rows. Task3 proves the protocol-1.16 component on this development workspace only; threat-model freeze, installed/N-1 process interoperability, cross-platform execution and aggregate release acceptance remain open.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Freeze protocol v1 and the threat model.","Ratify all recorded amendments together and rerun cross-platform protocol/binding fixtures.","T04","execution","required-open","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
"T04-APPLE","Apple","Apple implementation/qualification portion: Freeze protocol v1 and the threat model.","docs/verification/v1-master-plan-audit.md","75","86f5f37343978351f1d0cb1e13e28ce9c91a8ffd","deferred","","","Deferred by explicit user decision; preserve existing evidence and perform no new Apple work.","","[Protocol 1.5](../protocols/protocol-v1.md), [canonical CBOR](../protocols/cbor-v1.md), [threat model](../security/threat-model.md), [amendments](../protocols/contract-amendments.md)","Explicit user Apple deferral; not passed. Shared and Windows work remains in sibling rows.","56c050813a056fce730204472d5000e7498189b9a31dcb381ac3c26cbb02b3de","September14: only physical PC, dedicated fresh Windows test-user profiles; no VMs/ISO. Clean-OS and independent-host limitations remain open.","Freeze protocol v1 and the threat model.","Ratify all recorded amendments together and rerun cross-platform protocol/binding fixtures.","T04","execution","excluded-preview","windows-preview-readiness-2026-09-20.md; historical Status is retained, not promoted by component tests"
